INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,ICLEVEL,HIGHDEG,CONTROL,WOMENONLY,MENONLY,LOCALE,Tuition,Degree_Type,Ownership,Regions,Locales,Locale_Short
Oceanside College of Beauty,1298900,8,,0.65,0.56,,71,,PrivacySuppressed,9658,62788.24,3,1,3,0,0,21,13192,Certificate,Private for-profit,Far West,Suburb: Large,Suburb
Ohlone College,448100,8,,0.1416,0.0099,,9444,9785,PrivacySuppressed,9149,97834.69,2,2,1,0,0,21,9564,Associates,Public,Far West,Suburb: Large,Suburb
Orange Coast College,125000,8,,0.2632,0.0229,,23315,9916,0.779220779,4592.5,74581.4,2,2,1,0,0,12,9462,Associates,Public,Far West,City: Midsize,City
Otis College of Art and Design,125100,8,1045,0.4273,0.5645,0.903638151,896,7927,0.813229572,25000,73811.67,1,4,2,0,0,11,34829,Graduate,Private non-profit,Far West,City: Large,City
Oxnard College,1284200,8,,0.344,0,,7105,8445,,PrivacySuppressed,66361.87,2,2,1,0,0,12,2719,Associates,Public,Far West,City: Midsize,City
Hope International University,125200,8,910,0.5491,0.7722,0.342530923,637,6750,0.719298246,17750,71774.01,1,4,2,0,0,21,21651,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
Concorde Career College-San Diego,793000,8,,0.3774,0.4137,0.826086957,,5709,0.402462121,9500,55644.1,2,2,3,0,0,11,23371,Associates,Private for-profit,Far West,City: Large,City
Palo Alto University,2138300,8,,0.5876,0.732,,,12164,PrivacySuppressed,18000,PrivacySuppressed,1,4,2,0,0,41,,Graduate,Private non-profit,Far West,Rural: Fringe,Rural
Pacific Lutheran Theological Seminary,125400,8,,,,,,9365,,PrivacySuppressed,,1,4,2,0,0,12,,Graduate,Private non-profit,Far West,City: Midsize,City
Pacific Oaks College,125500,8,,0.6473,0.8112,,265,5942,0.6375,18721,60596.02,1,4,2,0,0,12,,Graduate,Private non-profit,Far West,City: Midsize,City
Pacific School of Religion,125600,8,,,,,,5813,,PrivacySuppressed,,1,4,2,0,0,12,,Graduate,Private non-profit,Far West,City: Midsize,City
Pacific States University,3163300,8,,0.0667,0,,33,3500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0,0,11,,Graduate,Private non-profit,Far West,City: Large,City
Pacific Union College,125800,8,984,0.4665,0.7756,0.452229299,1465,6092,0.864485981,20917,69255.78,1,4,2,0,0,41,22661,Graduate,Private non-profit,Far West,Rural: Fringe,Rural
University of the Pacific,132900,8,1152,0.3738,0.5601,0.645581009,3093,10663,0.830110497,20500,72621.06,1,4,2,0,0,11,30108,Graduate,Private non-profit,Far West,City: Large,City
Palo Verde College,125900,8,,0.0842,0,,3312,7661,,PrivacySuppressed,41306.94,2,2,1,0,0,42,12488,Associates,Public,Far West,Rural: Distant,Rural
Palomar College,126000,8,,0.1618,0.0092,,21062,9347,PrivacySuppressed,3500,68227.14,2,2,1,0,0,21,3554,Associates,Public,Far West,Suburb: Large,Suburb
Pasadena City College,126100,8,,0.2849,0.0064,,22948,8143,0.814285714,4872,56187.56,2,2,1,0,0,12,5396,Associates,Public,Far West,City: Midsize,City
Pepperdine University,1014900,8,1226,0.186,0.4112,0.381033962,3068,11858,0.848366013,23863.5,79068.51,1,4,2,0,0,21,33314,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
Pitzer College,117200,8,,0.1459,0.3504,0.134731261,924,10674,0.861842105,14775,75882.08,1,3,2,0,0,21,28075,Bachelors,Private non-profit,Far West,Suburb: Large,Suburb
Platt College-San Diego,2304300,8,,0.5158,0.3766,,342,4420,0.591463415,19250,65513.48,1,3,3,0,0,11,36482,Bachelors,Private for-profit,Far West,City: Large,City
Point Loma Nazarene University,126200,8,1148,0.2699,0.6106,0.713421146,2304,9741,0.908695652,18065,71269.62,1,4,2,0,0,11,31473,Graduate,Private non-profit,Far West,City: Large,City
Pomona College,117300,8,1435,0.1982,0.1467,0.102975676,1574,12644,PrivacySuppressed,10000,76544.99,1,3,2,0,0,21,14908,Bachelors,Private non-profit,Far West,Suburb: Large,Suburb
Porterville College,126800,8,,0.5634,0,,3785,9006,,PrivacySuppressed,42464.62,2,2,1,0,0,13,2587,Associates,Public,Far West,City: Small,City
Professional Institute of Beauty,1298400,8,,0.7041,0.4556,,84,,PrivacySuppressed,3129.5,54853.89,3,1,3,0,0,21,13038,Certificate,Private for-profit,Far West,Suburb: Large,Suburb
Santa Ana College,128400,8,,0.1354,0.0058,,27571,9574,0.615384615,5250,69027.49,2,2,1,0,0,11,4153,Associates,Public,Far West,City: Large,City
Pardee RAND Graduate School,1044100,8,,,,,,,,PrivacySuppressed,,1,4,2,0,0,13,,Graduate,Private non-profit,Far West,City: Small,City
Shasta School of Cosmetology,4161700,8,,0.5859,0,,,,,PrivacySuppressed,,3,1,3,0,0,13,9285,Certificate,Private for-profit,Far West,City: Small,City
University of Redlands,132200,8,1130,0.2993,0.6274,0.675156576,3015,9954,0.836507937,25000,68599.2,1,4,2,0,0,13,28859,Graduate,Private non-profit,Far West,City: Small,City
College of the Redwoods,118500,8,,0.412,0.0555,,6986,9600,0.643835616,4500,43785.57,2,2,1,0,0,41,5444,Associates,Public,Far West,Rural: Fringe,Rural
Salon Success Academy-Upland,720300,8,,0.4757,0.4854,,30,,0.5859375,6333,66495.47,3,1,3,0,0,21,11008,Certificate,Private for-profit,Far West,Suburb: Large,Suburb
Salon Success Academy-Corona,1309500,8,,0.564,0.6445,,27,,0.468181818,10554.5,67816.79,3,1,3,0,0,12,12091,Certificate,Private for-profit,Far West,City: Midsize,City
Rio Hondo College,126900,8,,0.2838,0.0062,,19506,9119,PrivacySuppressed,4030,57521.57,2,2,1,0,0,21,5004,Associates,Public,Far West,Suburb: Large,Suburb
Riverside City College,127000,8,,0.3429,0.0183,,22107,9931,0.744444444,4500,62818.87,2,2,1,0,0,11,7343,Associates,Public,Far West,City: Large,City
Argosy University-San Francisco Bay Area,2179908,8,,0.6547,0.7266,,,5208,0.63963964,12000,70553.21,1,4,3,0,0,21,22637,Graduate,Private for-profit,Far West,Suburb: Large,Suburb
Rosemead Beauty School,1294200,8,,0.433,0,,134,,,PrivacySuppressed,53070.82,3,1,3,0,0,21,5159,Certificate,Private for-profit,Far West,Suburb: Large,Suburb
Dongguk University-Los Angeles,3109500,8,,,,,,4125,PrivacySuppressed,PrivacySuppressed,56418.52,1,4,2,0,0,11,,Graduate,Private non-profit,Far West,City: Large,City
Sacramento City College,123300,8,,0.2568,0.0413,,20878,8270,0.710144928,6500,55083.56,2,2,1,0,0,11,7033,Associates,Public,Far West,City: Large,City
Saddleback College,891800,8,,0.1632,0.02,,18563,9624,0.679245283,4750,93728.38,2,2,1,0,0,21,10899,Associates,Public,Far West,Suburb: Large,Suburb
Samuel Merritt University,701200,8,,0.2178,0.7073,,256,10395,0.932816538,18750,83323.75,1,4,2,0,0,11,,Graduate,Private non-profit,Far West,City: Large,City
San Diego City College,127300,8,,0.3259,0.0388,,13585,6399,0.512195122,3500,50659.01,2,2,1,0,0,11,5411,Associates,Public,Far West,City: Large,City
Golf Academy of America-San Diego,3010611,8,,0.3713,0.2934,,173,4671,0.294358375,11586,65424.9,2,2,3,0,0,12,27481,Associates,Private for-profit,Far West,City: Midsize,City
San Diego Mesa College,127500,8,,0.1842,0.0172,,21233,6424,0.754716981,3500,61989.59,2,2,1,0,0,11,6132,Associates,Public,Far West,City: Large,City
San Diego Miramar College,1182000,8,,0.2125,0.0226,,8439,6085,PrivacySuppressed,3500,82971.08,2,2,1,0,0,11,5558,Associates,Public,Far West,City: Large,City
San Diego State University,115100,8,1130,0.3764,0.3375,0.344126264,25658,9532,0.755839058,13938.5,68953.33,1,4,1,0,0,11,13475,Graduate,Public,Far West,City: Large,City
University of San Diego,1039500,8,1236,0.1773,0.4092,0.51678245,4793,12116,0.857623318,20000,79883.39,1,4,2,0,0,11,33865,Graduate,Private non-profit,Far West,City: Large,City
San Francisco Art Institute,394800,8,,0.3319,0.5203,0.653641208,500,5839,0.734939759,16781.5,72969.6,1,4,2,0,0,11,41262,Graduate,Private non-profit,Far West,City: Large,City
San Francisco Conservatory of Music,127800,8,,0.3059,0.4765,0.466850829,136,11176,0.702702703,25000,74879.37,1,4,2,0,0,11,31660,Graduate,Private non-profit,Far West,City: Large,City
San Francisco State University,115400,8,979,0.4495,0.3747,0.678805307,20365,9411,0.718116976,13503.5,77495.51,1,4,1,0,0,11,12768,Graduate,Public,Far West,City: Large,City
San Francisco Theological Seminary,127900,8,,,,,,7527,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0,0,21,,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
University of San Francisco,132500,8,1172,0.2535,0.4678,0.643577804,4664,12851,0.83491062,21500,82472.56,1,4,2,0,0,11,33655,Graduate,Private non-profit,Far West,City: Large,City
San Joaquin College of Law,2500000,8,,,,,32,7753,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0,0,21,,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
San Joaquin Delta College,128000,8,,0.3743,0.0445,,16973,9213,0.536723164,4418.5,54829.78,2,2,1,0,0,11,9586,Associates,Public,Far West,City: Large,City
San Joaquin Valley College-Visalia,2120700,8,,0.7461,0.6117,,627,5258,0.37727534,9988,51804.36,2,2,3,0,0,41,18403,Associates,Private for-profit,Far West,Rural: Fringe,Rural
William Jessup University,128100,8,1012,0.4284,0.6719,0.760536398,395,6928,0.849315069,15000,76498.11,1,4,2,0,0,41,19700,Graduate,Private non-profit,Far West,Rural: Fringe,Rural
San Jose City College,128200,8,,0.2145,0.0213,,11295,11708,PrivacySuppressed,5250,87980.17,2,2,1,0,0,11,9326,Associates,Public,Far West,City: Large,City
San Jose State University,115500,8,1055,0.4245,0.3436,0.552249542,20711,9489,0.860326895,12500,88589.14,1,4,1,0,0,11,13183,Graduate,Public,Far West,City: Large,City
College of San Mateo,118100,8,,0.1453,0.0081,,10756,9429,PrivacySuppressed,4500,91605.26,2,2,1,0,0,21,2140,Associates,Public,Far West,Suburb: Large,Suburb
Santa Barbara Business College-Bakersfield,2577900,8,,0.7849,0.883,,276,3679,0.368518519,17666,46373.44,1,3,3,0,0,11,19667,Bachelors,Private for-profit,Far West,City: Large,City
Santa Barbara Business College-Santa Maria,2578000,8,,0.8256,0.8205,,250,3270,0.434599156,17666,57509.2,1,3,3,0,0,13,16034,Bachelors,Private for-profit,Far West,City: Small,City
Santa Barbara City College,128500,8,,0.2418,0.1016,,13834,5507,0.80141844,5500,70571.13,2,2,1,0,0,13,9781,Associates,Public,Far West,City: Small,City
Santa Clara University,132600,8,1313,0.1205,0.3288,0.487952212,4308,12133,0.915119363,19500,93581.09,1,4,2,0,0,12,34425,Graduate,Private non-profit,Far West,City: Midsize,City
Santa Monica College,128600,8,,0.2746,0.0135,,27868,10145,0.7,4500,54172.25,2,2,1,0,0,13,5705,Associates,Public,Far West,City: Small,City
Santa Rosa Junior College,128700,8,,0.1704,0.0173,,27020,8525,0.752427185,5000,70588.82,2,2,1,0,0,12,6903,Associates,Public,Far West,City: Midsize,City
Saybrook University,2120600,8,,,,,,5306,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0,0,11,,Graduate,Private non-profit,Far West,City: Large,City
Scripps College,117400,8,1362,0.108,0.3313,0.278989667,787,11220,PrivacySuppressed,12500,79153.99,1,4,2,1,0,21,28126,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
College of the Sequoias,118600,8,,0.4585,0.0192,,10251,7549,0.755813954,3500,48941.89,2,2,1,0,0,12,444,Associates,Public,Far West,City: Midsize,City
Shasta Bible College and Graduate School,2359300,8,,0.7179,0.1795,0.727272727,,1838,PrivacySuppressed,PrivacySuppressed,54363.26,1,4,2,0,0,13,15318,Graduate,Private non-profit,Far West,City: Small,City
Shasta College,128900,8,,0.3485,0.0424,,9112,8300,PrivacySuppressed,5500,46241.34,2,2,1,0,0,22,5650,Associates,Public,Far West,Suburb: Midsize,Suburb
Sierra College,129000,8,,0.3114,0.0578,,17517,6943,PrivacySuppressed,8750,69725.32,2,2,1,0,0,21,6999,Associates,Public,Far West,Suburb: Large,Suburb
Sierra College of Beauty,2064300,8,,0.6538,0,,40,,,PrivacySuppressed,47268.03,3,1,3,0,0,13,10846,Certificate,Private for-profit,Far West,City: Small,City
Trinity Law School,177212,8,1042,,,0.663101604,,8714,PrivacySuppressed,17000,,1,4,2,0,0,11,,Graduate,Private non-profit,Far West,City: Large,City
Simpson University,129100,8,1001,0.5562,0.9466,0.515248796,1026,6205,0.758007117,16500,55586.54,1,4,2,0,0,13,19739,Graduate,Private non-profit,Far West,City: Small,City
College of the Siskiyous,118700,8,,0.3021,0.1334,,2786,7218,0.707317073,7760,45814.86,2,2,1,0,0,33,7863,Associates,Public,Far West,Town: Remote,Town
Charles A Jones Career and Education Center,950900,8,,0.9908,0.511,,4132,,0.754716981,5861,52290.25,2,1,1,0,0,11,3831,Certificate,Public,Far West,City: Large,City
Skyline College,771300,8,,0.2073,0.0099,,8689,9229,PrivacySuppressed,5500,83628.34,2,2,1,0,0,21,3043,Associates,Public,Far West,Suburb: Large,Suburb
San Bernardino Valley College,127200,8,,0.3291,0.0003,,12025,8455,PrivacySuppressed,3500,49143.25,2,2,1,0,0,12,6810,Associates,Public,Far West,City: Midsize,City
Saint Mary's College of California,130200,8,1124,0.2588,0.6249,0.975351179,3035,9903,0.866962306,21250,84232.87,1,4,2,0,0,41,32721,Graduate,Private non-profit,Far West,Rural: Fringe,Rural
Solano Community College,129200,8,,0.255,0.0229,,10507,10795,0.714285714,6078.5,72436.64,2,2,1,0,0,22,7519,Associates,Public,Far West,Suburb: Midsize,Suburb
Sonoma State University,115600,8,996,0.3268,0.4118,0.76554209,6211,8815,0.770761246,13610.5,75511.05,1,4,1,0,0,21,15710,Graduate,Public,Far West,Suburb: Large,Suburb
South Baylo University,2597300,8,,0.1776,0.1308,,0,2083,PrivacySuppressed,14299,75211.25,1,4,2,0,0,11,,Graduate,Private non-profit,Far West,City: Large,City
South Coast College,2277400,8,,0.5979,0.7042,,538,4326,0.535433071,11109.5,76739.27,2,2,3,0,0,12,18132,Associates,Private for-profit,Far West,City: Midsize,City
Vanguard University of Southern California,129300,8,975,0.4137,0.8078,0.682582381,1470,8439,0.795665635,19500,75891.29,1,4,2,0,0,12,23052,Graduate,Private non-profit,Far West,City: Midsize,City
Concorde Career College-Garden Grove,807100,8,,0.6373,0.69,0.870090634,478,5991,0.512351327,9500,67835.8,2,2,3,0,0,21,24148,Associates,Private for-profit,Far West,Suburb: Large,Suburb
Southwestern College,129400,8,,0.3132,0.0181,,17994,9436,0.732394366,3500,56148.58,2,2,1,0,0,21,4042,Associates,Public,Far West,Suburb: Large,Suburb
Starr King School for the Ministry,408000,8,,,,,,6684,,PrivacySuppressed,,1,4,2,0,0,12,,Graduate,Private non-profit,Far West,City: Midsize,City
Marshall B Ketchum University,123000,8,,,,,,9421,,PrivacySuppressed,71601.32,1,4,2,0,0,21,,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
Southern California Institute of Architecture,2075800,8,1116,0.3118,0.2814,0.73364486,19,12204,0.717948718,36923,66525.34,1,4,2,0,0,11,52073,Graduate,Private non-profit,Far West,City: Large,City
University of Southern California,132800,8,1391,0.2307,0.3569,0.176816116,15705,13461,0.883161512,21500,76787.41,1,4,2,0,0,11,29174,Graduate,Private non-profit,Far West,City: Large,City
Southwestern Law School,129500,8,,,,,,14067,PrivacySuppressed,PrivacySuppressed,74660.77,1,4,2,0,0,11,,Graduate,Private non-profit,Far West,City: Large,City
Taft College,130900,8,,0.2574,0,,7331,8815,PrivacySuppressed,PrivacySuppressed,48523.11,2,2,1,0,0,32,5906,Associates,Public,Far West,Town: Distant,Town
Claremont School of Theology,128800,8,,,,,,8659,PrivacySuppressed,PrivacySuppressed,65095.83,1,4,2,0,0,21,,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
Thomas Aquinas College,2358000,8,1280,0.3545,0.7222,0.751322751,277,9366,PrivacySuppressed,16500,67656.24,1,3,2,0,0,42,22199,Bachelors,Private non-profit,Far West,Rural: Distant,Rural
Epic Bible College,3403300,8,,0.1169,0.5801,,,2098,PrivacySuppressed,11000,63747.56,1,4,2,0,0,21,22045,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
United Education Institute-Huntington Park Campus,2559300,8,,0.7773,0.7553,,1765,,0.278033088,9500,52269.41,3,1,3,0,0,21,20489,Certificate,Private for-profit,Far West,Suburb: Large,Suburb
Concorde Career College-San Bernardino,853700,8,,0.4556,0.5721,0.746212121,551,5577,0.387563268,9500,56088.13,2,2,3,0,0,12,23292,Associates,Private for-profit,Far West,City: Midsize,City
Universal College of Beauty Inc-Los Angeles 1,1244600,8,,0.5882,0,,93,,,PrivacySuppressed,40772.16,3,1,3,0,0,21,10774,Certificate,Private for-profit,Far West,Suburb: Large,Suburb
Concorde Career College-North Hollywood,760700,8,,0.4177,0.5712,0.811111111,444,5761,0.49472675,9500,57738.74,2,2,3,0,0,11,21677,Associates,Private for-profit,Far West,City: Large,City
Ventura College,133400,8,,0.2659,0.0282,,11837,7971,0.763157895,6000,68802.22,2,2,1,0,0,12,2572,Associates,Public,Far West,City: Midsize,City
Victor Valley College,133500,8,,0.4713,0,,9221,8366,0.544117647,5500,53361.42,2,2,1,0,0,12,7713,Associates,Public,Far West,City: Midsize,City
Berkeley City College,2242700,8,,0.2382,0.0229,,3984,8005,PrivacySuppressed,6000,59392.46,2,2,1,0,0,12,7198,Associates,Public,Far West,City: Midsize,City
Walden University,2504200,4,,0.4563,0.6941,,,6692,0.632867133,10952.5,62475.08,1,4,3,0,0,11,29141,Graduate,Private for-profit,Plains,City: Large,City
Waynes College of Beauty,2061600,8,,0.6667,0,,,,,PrivacySuppressed,,3,1,3,0,0,12,6151,Certificate,Private for-profit,Far West,City: Midsize,City
West Hills College-Coalinga,117600,8,,0.3536,0.0683,,4344,7885,0.432432432,5500,47860.87,2,2,1,0,0,32,6854,Associates,Public,Far West,Town: Distant,Town
West Los Angeles College,859600,8,,0.2816,0.0001,,10404,7748,0.651162791,8075,50356.18,2,2,1,0,0,21,6314,Associates,Public,Far West,Suburb: Large,Suburb
West Valley College,133800,8,,0.1456,0.0028,,10719,8342,PrivacySuppressed,3656,100636.77,2,2,1,0,0,21,9893,Associates,Public,Far West,Suburb: Large,Suburb
Carrington College-Sacramento,974800,8,,0.715,0.6305,0.974217311,574,6255,0.423516687,12117,66236.49,2,2,3,0,0,21,,Associates,Private for-profit,Far West,Suburb: Large,Suburb
Westminster Theological Seminary in California,2276800,8,,,,,,7631,,PrivacySuppressed,PrivacySuppressed,1,4,2,0,0,21,,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
Westmont College,134100,8,1179,0.2069,0.5823,0.812229177,1323,7058,0.933014354,19500,78788.61,1,3,2,0,0,22,30787,Bachelors,Private non-profit,Far West,Suburb: Midsize,Suburb
Whittier College,134200,8,1057,0.369,0.7153,0.626155624,1294,8907,0.81294964,22998,73825.46,1,4,2,0,0,21,36005,Graduate,Private non-profit,Far West,Suburb: Large,Suburb
Woodbury University,134300,8,944,0.4432,0.6076,0.576005961,1135,6783,0.81595092,28200,60713.37,1,4,2,0,0,11,27920,Graduate,Private non-profit,Far West,City: Large,City
The Wright Institute,884600,8,,,,,,7574,PrivacySuppressed,PrivacySuppressed,86829.58,1,4,2,0,0,12,,Graduate,Private non-profit,Far West,City: Midsize,City
Western State College of Law at Argosy University,2179937,8,,,,,,8512,0.63963964,12000,,1,4,3,0,0,21,,Graduate,Private for-profit,Far West,Suburb: Large,Suburb
Thomas Jefferson School of Law,1085400,8,,,,,,13672,PrivacySuppressed,PrivacySuppressed,71238.54,1,4,2,0,0,11,,Graduate,Private non-profit,Far West,City: Large,City
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,2262400,8,,0.6687,0,0.584158416,71,2719,,PrivacySuppressed,66838.2,1,3,2,0,1,11,7517,Bachelors,Private non-profit,Far West,City: Large,City
Yuba College,134400,8,,0.4462,0,,10295,9448,0.666666667,4500,49031.64,2,2,1,0,0,22,4638,Associates,Public,Far West,Suburb: Midsize,Suburb
The Salon Professional Academy-Grand Junction,2165200,7,,0.4127,0.5,,60,,PrivacySuppressed,9536,49675.43,2,1,3,0,0,13,11143,Certificate,Private for-profit,Rocky Mtns,City: Small,City
Adams State University,134500,7,954,0.5051,0.6062,0.643518519,2080,5999,0.672839506,10992,50726.71,1,4,1,0,0,33,16212,Graduate,Public,Rocky Mtns,Town: Remote,Town
Aims Community College,758200,7,,0.3547,0.19,,6948,6592,0.608465609,5500,59789.69,2,2,1,0,0,13,8052,Associates,Public,Rocky Mtns,City: Small,City
Arapahoe Community College,134600,7,,0.3993,0.3091,,7436,6745,0.724565757,4750,82692.75,2,2,1,0,0,21,9835,Associates,Public,Rocky Mtns,Suburb: Large,Suburb
Bel-Rea Institute of Animal Technology,1267000,7,,0.4948,0.7464,0.354978355,608,5046,0.631147541,20384,71132.11,2,2,3,0,0,11,20513,Associates,Private for-profit,Rocky Mtns,City: Large,City
Everest College-Colorado Springs,450300,7,,0.7424,0.4848,,578,3683,0.278757347,8500,67773.78,2,2,2,0,0,11,20173,Associates,Private non-profit,Rocky Mtns,City: Large,City
University of Colorado Denver/Anschutz Medical Campus,450800,7,1055,0.2751,0.3535,0.674172954,8093,9877,0.806887238,13000,74050.41,1,4,1,0,0,11,14519,Graduate,Public,Rocky Mtns,City: Large,City
University of Colorado Colorado Springs,450900,7,1088,0.3202,0.4827,0.920636835,4967,7831,0.794830372,12500,70639.18,1,4,1,0,0,11,14649,Graduate,Public,Rocky Mtns,City: Large,City
Redstone College,729700,7,,0.6996,0.6349,,1188,3829,0.545081967,17250,63587.02,2,2,3,0,0,13,21660,Associates,Private for-profit,Rocky Mtns,City: Small,City
University of Colorado Boulder,137000,7,1212,0.1723,0.3068,0.796201117,23612,10687,0.830860534,13750,81327.65,1,4,1,0,0,13,21806,Graduate,Public,Rocky Mtns,City: Small,City
Colorado Christian University,940100,7,,0.2986,0.4905,,1843,6039,PrivacySuppressed,9500,70816.99,1,4,2,0,0,12,24834,Graduate,Private non-profit,Rocky Mtns,City: Midsize,City
Colorado College,134700,7,,0.1078,0.359,0.17133995,1919,10644,0.895238095,19359,73737.62,1,4,2,0,0,11,29829,Graduate,Private non-profit,Rocky Mtns,City: Large,City
Concorde Career College-Aurora,887100,7,,0.6615,0.9349,0.789915966,321,5524,0.459555556,9500,68505.79,2,2,3,0,0,11,22178,Associates,Private for-profit,Rocky Mtns,City: Large,City
The Art Institute of Colorado,2078900,7,,0.5502,0.7553,,2090,5260,0.64017341,12667,66519.79,1,3,3,0,0,11,25113,Bachelors,Private for-profit,Rocky Mtns,City: Large,City
Colorado Mountain College,450600,7,,0.1784,0.1765,,7407,8055,0.741116751,5500,68934.9,1,3,1,0,0,33,8212,Bachelors,Public,Rocky Mtns,Town: Remote,Town
Colorado Northwestern Community College,135900,7,,0.2345,0.2887,,1834,5240,0.839506173,6500,57363.26,2,2,1,0,0,43,11901,Associates,Public,Rocky Mtns,Rural: Remote,Rural
Colorado School of Mines,134800,7,1339,0.1688,0.4428,0.376701838,2559,10786,0.958990536,22000,74353.28,1,4,1,0,0,21,24929,Graduate,Public,Rocky Mtns,Suburb: Large,Suburb
Colorado School of Trades,1157200,7,,0.4931,0.3715,,82,3750,0.641025641,17000,61125.39,2,2,3,0,0,12,16975,Associates,Private for-profit,Rocky Mtns,City: Midsize,City
Colorado State University-Fort Collins,135000,7,1145,0.2427,0.4477,0.808202199,20728,9422,0.820435967,15781,73818.06,1,4,1,0,0,12,16777,Graduate,Public,Rocky Mtns,City: Midsize,City
Colorado Technical University-Colorado Springs,1014800,7,,0.507,0.632,,1393,6896,0.543011461,9500,58865.35,1,4,3,0,0,11,20732,Graduate,Private for-profit,Rocky Mtns,City: Large,City
Community College of Aurora,2276900,7,,0.3546,0.2162,,4642,6809,0.682008368,5500,71715.37,2,2,1,0,0,11,9511,Associates,Public,Rocky Mtns,City: Large,City
CollegeAmerica-Denver,2594300,7,,0.8034,0.8329,,399,4433,0.348047538,20452,62640.27,1,3,2,0,0,11,25749,Bachelors,Private non-profit,Rocky Mtns,City: Large,City
Delta Montrose Technical College,2156200,7,,0.1238,0.1002,,2312,,0.5625,5500,47434.25,3,1,1,0,0,41,7373,Certificate,Public,Rocky Mtns,Rural: Fringe,Rural
Community College of Denver,954200,7,,0.4238,0.308,,6635,4919,0.612318841,4891,61494.5,2,2,1,0,0,11,8787,Associates,Public,Rocky Mtns,City: Large,City
Lincoln College of Technology-Denver,793806,7,,0.6134,0.6871,,390,3896,0.452723536,10314,65483.96,2,2,3,0,0,11,19649,Associates,Private for-profit,Rocky Mtns,City: Large,City
Denver Seminary,135200,7,,,,,,5715,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0,0,21,,Graduate,Private non-profit,Rocky Mtns,Suburb: Large,Suburb
University of Denver,137100,7,1249,0.1717,0.3814,0.72745411,3992,10495,0.873487349,19500,78120.26,1,4,2,0,0,11,28839,Graduate,Private non-profit,Rocky Mtns,City: Large,City
Emily Griffith Technical College,559600,7,,0.0891,0,,7377,,,PrivacySuppressed,58984.56,3,1,1,0,0,11,5030,Certificate,Public,Rocky Mtns,City: Large,City
Fort Lewis College,135300,7,1012,0.3417,0.4732,0.85958132,4285,7078,0.747810858,10500,61685.3,1,3,1,0,0,32,15836,Bachelors,Public,Rocky Mtns,Town: Distant,Town
Front Range Community College,793300,7,,0.3406,0.3327,,12962,6720,0.672962227,7559,71572.35,2,2,1,0,0,21,9777,Associates,Public,Rocky Mtns,Suburb: Large,Suburb
Glenwood Beauty Academy,2267500,7,,0.6364,0.6212,,51,,0.555555556,7300,73316.69,2,1,3,0,0,33,16578,Certificate,Private for-profit,Rocky Mtns,Town: Remote,Town
Iliff School of Theology,135400,7,,,,,,6174,PrivacySuppressed,PrivacySuppressed,66861.5,1,4,2,0,0,11,,Graduate,Private non-profit,Rocky Mtns,City: Large,City
International Salon and Spa Academy,1285000,7,,0.5927,0.4961,,170,,0.417525773,5000,62022.01,2,1,3,0,0,11,14144,Certificate,Private for-profit,Rocky Mtns,City: Large,City
Lamar Community College,135500,7,,0.3373,0.2288,,991,5154,0.5,5500,46537.94,2,2,1,0,0,33,8934,Associates,Public,Rocky Mtns,Town: Remote,Town
Colorado Mesa University,135800,7,952,0.3886,0.5463,0.830584708,5092,6609,0.7920434,11000,56304.4,1,4,1,0,0,13,16507,Graduate,Public,Rocky Mtns,City: Small,City
Metropolitan State University of Denver,136000,7,971,0.3717,0.4729,0.652181097,17688,6302,0.758007117,13250,71857.86,1,4,1,0,0,11,9521,Graduate,Public,Rocky Mtns,City: Large,City
Morgan Community College,998100,7,,0.2488,0.1334,,1757,5816,0.642857143,6750,50344.53,2,2,1,0,0,33,7449,Associates,Public,Rocky Mtns,Town: Remote,Town
Naropa University,2117500,7,,0.4577,0.6911,0.79558011,433,6075,0.781818182,13700,68743.09,1,4,2,0,0,13,33937,Graduate,Private non-profit,Rocky Mtns,City: Small,City
National American University-Colorado Springs,405702,7,,0.6403,0.5217,,161,3740,0.663541667,14279.5,60277.72,1,3,3,0,0,11,,Bachelors,Private for-profit,Rocky Mtns,City: Large,City
Nazarene Bible College,1300700,7,,0.4434,0.5026,,473,4229,0.483870968,13000,57714.73,1,3,2,0,0,11,15127,Bachelors,Private non-profit,Rocky Mtns,City: Large,City
