YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
2000,actor,4/13/00,Acting,David Alan Grier
2000,actor,4/17/00,Acting,Stanley Tucci
2000,actress,4/18/00,Acting,Samantha Mathis
2000,professional wrestler,4/19/00,Athletics,Diamond Dallas Page
2000,former us senator,4/20/00,Politician,Arlen Specter
2000,publisher,4/24/00,Media,Hugh Hefner and Bentley twins
2000,model,4/24/00,Media,Hugh Hefner and Bentley twins
2000,actress,4/25/00,Acting,Kirsten Dunst
2000,film actress,4/26/00,Acting,Jeanne Tripplehorn
2000,actor,4/27/00,Acting,Stephen Baldwin
2000,Film actress,5/1/00,Acting,S. Epatha Merkerson
2000,actor,5/10/00,Acting,Andy Richter
2000,actress,5/11/00,Acting,Betty White
2000,television actress,5/15/00,Acting,Tracey Ullman
2000,actor,5/16/00,Acting,Kyle MacLachlan
2000,actress,5/17/00,Acting,Jane Leeves
2000,actor,5/18/00,Acting,Michael Rapaport
2000,actor,5/2/00,Acting,Luke Wilson
2000,actress,5/3/00,Acting,Julie Warner
2000,actress,5/30/00,Acting,Laura Kightlinger
2000,actress,5/31/00,Acting,Thandie Newton
2000,actor,5/4/00,Acting,Eric Close
2000,actress,5/8/00,Acting,Wendie Malick
2000,actor,5/9/00,Acting,Jesse L. Martin
2000,reality show contestant,6/1/00,Media,Sonja Christopher
2000,actor,6/13/00,Acting,Mark Curry
2000,television host,6/14/00,Media,Jimmy Kimmel & Adam Carolla
2000,comedian,6/14/00,Comedy,Jimmy Kimmel & Adam Carolla
2000,actress,6/15/00,Acting,Julie Brown
2000,writer,6/19/00,Media,Heather Donahue
2000,former press secretary,6/20/00,Political Aide,Joe Lockhart
2000,actor,6/21/00,Acting,Freddie Prinze Jr.
2000,actress,6/22/00,Acting,Alicia Silverstone
2000,comic,6/26/00,Comedy,Cheri Oteri
2000,game show host,6/27/00,Media,Jeff Probst
2000,Guitarist,6/28/00,Musician,Richie Sambora
2000,actor,6/29/00,Acting,John C. Reilly
2000,magician,6/5/00,Media,Penn and Teller
2000,actress,6/6/00,Acting,Kelli Williams
2000,Filmmaker,6/7/00,Media,Michael Moore
2000,actress,7/10/00,Acting,Anna Paquin
2000,actor,7/11/00,Acting,J. K. Simmons
2000,actress,7/12/00,Acting,Famke Janssen
2000,actor,7/13/00,Acting,Billy Crudup
2000,actor,7/17/00,Acting,Shawn Wayans & Marlon Wayans
2000,actor,7/17/00,Acting,Shawn Wayans & Marlon Wayans
2000,actress,7/18/00,Acting,Halle Berry
2000,,7/19/00,,Fourth Anniversary Special
2000,television personality,7/20/00,Media,Al Roker
2000,actor,7/24/00,Acting,Peter Fonda
2000,writer,7/25/00,Media,Joe Eszterhas
2000,actress,7/26/00,Acting,Jennifer Beals
2000,,7/31/00,,"Campaign Trail to the Road to the White House Mo Rocca, Vance DeGeneres"
2000,american politician,8/1/00,Politician,Bob Dole
2000,former governor of nebraska,8/15/00,Politician,Bob Kerrey
2000,actor,8/16/00,Acting,William Baldwin
2000,american politician,8/18/00,Politician,Bob Dole
2000,Former U.S. Representative,8/2/00,Politician,Mary Bono
2000,actor,8/22/00,Acting,Jeremy Piven
2000,Musician,8/23/00,Musician,Slash
2000,actor,8/24/00,Acting,Vincent D'Onofrio
2000,american politician,8/3/00,Politician,Bob Dole
2000,Former United States Secretary of Labor,8/4/00,Politician,Robert Reich and Ben Stein
2000,writer,8/4/00,Media,Robert Reich and Ben Stein
2000,actor,9/11/00,Acting,Joe Mantegna
2000,actor,9/12/00,Acting,Eugene Levy
2000,boxer,9/13/00,Athletics,Lennox Lewis
2000,former us senator,9/14/00,Politician,Joe Lieberman
2000,actor,9/18/00,Acting,Ryan Phillippe
2000,actress,9/19/00,Acting,Jamie Lee Curtis
2000,rock band,9/20/00,Musician,Barenaked Ladies
2000,actor,9/21/00,Acting,Jamie Foxx
2000,comedian,9/25/00,Comedy,Jonathan Katz
2000,actor,9/26/00,Acting,Bill Goldberg
2000,actor,9/27/00,Acting,Sylvester Stallone
2000,actor,9/28/00,Acting,Tony Danza
2000,film actor,9/5/00,Acting,Donal Logue
2000,actor,9/6/00,Acting,Greg Kinnear
2000,Band,9/7/00,Musician,Spinal Tap
2001,singer,2001/10/1,Musician,Vitamin C
2001,actress,2001/11/1,Acting,Julia Stiles
2001,actor,1/15/01,Acting,Willem Dafoe
2001,actor,1/16/01,Acting,Tim Robbins
2001,Reporter,1/17/01,Media,Sam Donaldson
2001,actress,1/18/01,Acting,Lynn Whitfield
2001,television host,1/22/01,Media,Bill O'Reilly
2001,actor,1/23/01,Acting,Matthew McConaughey
2001,American football quarterback,1/24/01,Athletics,Terry Bradshaw
2001,actor,1/25/01,Acting,Topher Grace
2001,actor,1/29/01,Acting,David Boreanaz
2001,film actress,1/30/01,Acting,Dyan Cannon
2001,actor,1/31/01,Acting,James van der Beek
2001,Comedian,2001/9/1,Comedy,Richard Lewis
2001,actor,2010/1/1,Acting,Kelsey Grammer
2001,actor,2010/10/1,Acting,Jeremy Piven
2001,journalist,2010/11/1,Media,John Miller
2001,chef,10/15/01,Misc,Emeril Lagasse
2001,actress,10/16/01,Acting,Lorraine Bracco
2001,actor,10/17/01,Acting,Snoop Dogg
2001,journalist,10/18/01,Media,Fareed Zakaria
2001,actor,2010/2/1,Acting,James Belushi
2001,Singer,10/22/01,Musician,Lance Bass
2001,journalist,10/23/01,Media,Don Dahler
2001,commentator,10/24/01,Media,Greta Van Susteren
2001,actor,10/25/01,Acting,Jeff Bridges
2001,professor,2010/3/1,Academic,Stephen S. Morse
2001,actor,10/30/01,Acting,Rob Morrow
2001,Diplomat,10/31/01,Government,Richard Holbrooke
2001,actress,2010/4/1,Acting,Kate Beckinsale
2001,actor,2010/9/1,Acting,Owen Wilson
2001,actor,2011/1/1,Acting,Kevin Spacey
2001,Journalist,2011/12/1,Media,Steve Kroft
2001,television presenter,11/13/01,Media,Anne Robinson
2001,american television personality,11/14/01,Media,Carson Daly
2001,actor,11/15/01,Acting,John Stamos
2001,actor,11/26/01,Acting,Edward Burns
2001,Lawyer,11/27/01,Misc,Star Jones
2001,actress,11/28/01,Acting,Jennifer Garner
2001,journalist,11/29/01,Media,David Halberstam
2001,actor,2011/5/1,Acting,Paul Rudd
2001,Political satirist,2011/6/1,Media,P. J. O'Rourke
2001,white house sommunications director,2011/7/1,Political Aide,George Stephanopoulos
2001,comedian,2011/8/1,Comedy,Jennifer Saunders
2001,Comedian,2012/10/1,Comedy,Stephen Colbert as Al Sharpton (Sharpton had been the scheduled guest)
2001,comedian,2012/11/1,Comedy,Dave Gorman
2001,film actress,2012/12/1,Acting,Janeane Garofalo
2001,television actress,12/13/01,Acting,Tracey Ullman
2001,actor,12/17/01,Acting,Elijah Wood
2001,Author,12/18/01,Media,Peggy Noonan
2001,actor,12/19/01,Acting,Gary Sinise
2001,actor,12/20/01,Acting,Jamie Foxx
2001,Professor,2012/3/1,Academic,Nadine Strossen
2001,telvision personality,2012/4/1,Media,John Edward
2001,actress,2012/5/1,Acting,Marg Helgenberger
2001,actor,2012/6/1,Acting,Ted Danson
2001,actor,2002/1/1,Acting,Tim Blake Nelson
2001,musician,2002/12/1,Musician,Dave Grohl
2001,muppet,2/13/01,Media,Kermit the Frog
2001,actress,2/14/01,Acting,Jessica Alba
2001,Comedian,2/15/01,Comedy,Wanda Sykes
2001,actor,2/20/01,Acting,Greg Germann
2001,comedian,2/21/01,Comedy,Chris Rock
2001,actress,2/22/01,Acting,Kelly Ripa
2001,actor,2/26/01,Acting,Ted Danson
2001,actor,2/27/01,Acting,Joe Pantoliano
2001,actress,2/28/01,Acting,Heather Locklear
2001,Former United States Deputy Secretary of State,2003/1/1,Government,Warren Christopher
2001,actor,3/19/01,Acting,Chris Meloni
2001,actress,3/20/01,Acting,Mary Stuart Masterson
2001,news anchor,3/21/01,Media,Jeff Varner
2001,actor,3/22/01,Acting,Denis Leary
2001,Columnist,3/26/01,Media,Richard Roeper
2001,Comedian,3/27/01,Comedy,Richard Lewis
2001,television actor,3/28/01,Acting,Mark Harmon
2001,actress,3/29/01,Acting,Jennifer Love Hewitt
2001,actor,2003/5/1,Acting,Martin Short
2001,actor,2003/6/1,Acting,Ed Burns
2001,model,2003/7/1,Media,Carmen Electra
2001,actor,2003/8/1,Acting,Javier Bardem
2001,sportscaster,2004/10/1,Media,Bob Costas
2001,actor,2004/11/1,Acting,Damon Wayans
2001,television actress,2004/12/1,Acting,Brittany Daniel
2001,journalist,2004/2/1,Media,Lisa Ling
2001,television producer,4/23/01,Media,Don Hewitt
2001,actress,4/24/01,Acting,Rachael Leigh Cook
2001,actor,4/25/01,Acting,Tom Green
2001,actor,4/26/01,Acting,Tom Cavanagh
2001,actress,2004/3/1,Acting,Amy Sedaris
2001,actor,4/30/01,Acting,Eric McCormack
2001,actor,2004/4/1,Acting,D.L. Hughley
2001,actor,2004/5/1,Acting,Steven Weber
2001,actor,2004/9/1,Acting,Paul Reubens
2001,actor,2005/1/1,Acting,Dominic Chianese
2001,television actress,2005/10/1,Acting,Patricia Richardson
2001,Film actress,5/14/01,Acting,Maura Tierney
2001,actress,5/15/01,Acting,Denise Qui???¡Óones
2001,actor,5/16/01,Acting,Heath Ledger
2001,former mayor of cincinatti,5/17/01,Politician,Jerry Springer
2001,,2005/2/1,,No guest
2001,actor,5/29/01,Acting,Richard Schiff
2001,actor,2005/3/1,Acting,Robert Patrick
2001,film actor,5/30/01,Acting,Bradley Whitford
2001,actress,5/31/01,Acting,Leah Remini
2001,singer,2005/7/1,Musician,Chris Robinson
2001,actor,2005/8/1,Acting,James Van Der Beek
2001,Guitarist,2005/9/1,Musician,Richie Sambora
2001,journalist,2006/11/1,Media,Joe Queenan
2001,bass guitarist,2006/12/1,Musician,Gene Simmons
2001,actor,6/13/01,Acting,David Duchovny
2001,journalist,6/14/01,Media,Jeff Greenfield
2001,actor,6/18/01,Acting,Martin Short
2001,actor,6/19/01,Acting,Michael Rapaport
2001,actor,6/20/01,Acting,Alec Baldwin
2001,Singer,6/21/01,Musician,M??_a
2001,actor,6/25/01,Acting,Sam Robards
2001,stunt perfomrer,6/26/01,Acting,Johnny Knoxville
2001,film actor,6/27/01,Acting,Jet Li
2001,actress,6/28/01,Acting,Bridget Fonda
2001,comedian,2006/4/1,Comedy,Jake Johannsen
2001,Stand-up comedian,2006/5/1,Comedy,Richard Belzer
2001,television personality,2006/6/1,Media,Al Roker
2001,stand-up comedian,2006/7/1,Comedy,Bernie Mac
2001,Pop group,2007/10/1,Musician,Spice Girls
2001,actor,2007/11/1,Acting,James Woods
2001,actor,2007/12/1,Acting,Vince Vaughn
2001,actor,7/16/01,Acting,Jon Favreau
2001,Journalist,7/17/01,Media,Maria Bartiromo
2001,actor,7/18/01,Acting,Edward Norton
2001,actor,7/19/01,Acting,Hank Azaria
2001,actor,7/23/01,Acting,Larry Miller
2001,actor,7/24/01,Acting,Paul Giamatti
2001,former us senator,7/25/01,Politician,Joe Lieberman
2001,us senator,7/26/01,Politician,John McCain
2001,actress,7/30/01,Acting,Jerri Manthey
2001,Film actor,7/31/01,Acting,Peter Krause
2001,actor,2007/9/1,Acting,Sean Hayes
2001,actor,2008/1/1,Acting,Jackie Chan
2001,writer,8/13/01,Media,David Rakoff
2001,actor,8/14/01,Acting,John Carpenter
2001,actor,8/15/01,Acting,Seth Green
2001,model,8/16/01,Media,Fabio
2001,film actress,2008/2/1,Acting,Janeane Garofalo
2001,actor,8/20/01,Acting,Cuba Gooding Jr.
2001,actor,8/21/01,Acting,Griffin Dunne
2001,actor,8/22/01,Acting,Will Ferrell
2001,Screenwriter,8/23/01,Media,Kevin Smith
2001,actress,2008/6/1,Acting,Andie MacDowell
2001,comedian,2008/7/1,Comedy,Joe Rogan
2001,Model,2008/8/1,Media,Tara Reid
2001,actor,2008/9/1,Acting,Jason Biggs
2001,Rock band,2009/10/1,Musician,They Might Be Giants
2001,guitarist,2009/11/1,Musician,Dave Navarro
2001,essayist,9/24/01,Media,Frank Rich
2001,broadcaster,9/25/01,Media,Aaron Brown
2001,journalist,9/26/01,Media,Jeff Greenfield
2001,Rock duo,9/27/01,Musician,Tenacious D
2002,actor,2001/10/2,Acting,Jack Black
2002,journalist,1/14/02,Media,Lesley Stahl
2002,actor,1/15/02,Acting,Ian McKellen
2002,actor,1/16/02,Acting,Colin Hanks
2002,actor,1/17/02,Acting,Jeremy Northam
2002,minister,1/21/02,Clergy,Al Sharpton
2002,actor,1/22/02,Acting,Anthony LaPaglia
2002,actor,1/23/02,Acting,Harold Ramis
2002,Journalist,1/24/02,Media,Sebastian Junger
2002,journalist,1/28/02,Media,Ron Insana
2002,novelist,1/29/02,Media,Elmore Leonard
2002,journalist,1/30/02,Media,John King
2002,actor,1/31/02,Acting,Jason Schwartzman
2002,actress,2001/8/2,Acting,Anjelica Huston
2002,actor,2001/9/2,Acting,Luke Wilson
2002,actor,2010/1/2,Acting,Patrick Dempsey
2002,Host,2010/10/2,Media,Oliver North
2002,,10/14/02,,Road to Washington Special
2002,news anchor,10/15/02,Media,Judy Woodruff
2002,Comedian,10/16/02,Comedy,Richard Lewis
2002,actor,10/17/02,Acting,Greg Kinnear
2002,actor,2010/2/2,Acting,David Schwimmer
2002,former american senator,10/28/02,Politician,John Edwards
2002,assistant secretary of defense,10/29/02,Government,Victoria Clarke
2002,actress,2010/3/2,Acting,Rita Wilson
2002,Former Assistant to the President for Communications,10/30/02,Political Aide,Pat Buchanan
2002,Broadcaster,10/31/02,Media,Ted Koppel
2002,actor,2010/7/2,Acting,Jake Gyllenhaal
2002,actress,2010/8/2,Acting,Jill Hennessy
2002,Journalist,2010/9/2,Media,Peter Jennings
2002,journalist,2011/12/2,Media,Alexandra Pelosi
2002,actor,11/13/02,Acting,Kiefer Sutherland
2002,actor,11/14/02,Acting,Tom Arnold
2002,rapper,11/18/02,Musician,Ja Rule
2002,former us representativ,11/19/02,Politician,Harold Ford
2002,journalist,11/20/02,Media,Catherine Crier
2002,actor,11/21/02,Acting,Kevin James
2002,singer-songwriter,2011/4/2,Musician,Christina Aguilera
2002,us senator,2011/5/2,Politician,John McCain
2002,news anchor,2011/6/2,Media,Candy Crowley
2002,singer-songwriter,2011/7/2,Musician,Jakob Dylan
2002,Journalist,2012/10/2,Media,Tom Brokaw
2002,actress,2012/11/2,Acting,Sandra Bullock
2002,actress,2012/12/2,Acting,Anna Paquin
2002,us senator,12/16/02,Politician,Charles Schumer
